Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-09-06,53199.984421799,54379.89638454,53179.875801564,54279.972010139,674199.68855297
2018-09-07,53690.016028769,54159.939015503,53429.84141926,53900.073769382,661599.29643095
2018-09-10,53539.974785473,53990.09851536,53010.035301421,53990.09851536,585999.85289894
2018-09-11,54689.878499555,55459.88397288,54520.037999412,55269.934852502,732600.91082715
2018-09-12,55789.974708131,55940.015951426,55029.868863229,55290.043472737,662700.91353549
2018-09-13,55560.11771067,56950.087414025,55380.068218715,56869.962296471,755198.6074706
2018-09-14,57880.033759069,58190.015874084,57179.944411486,58090.091499683,1498199.2621663
2018-09-18,58000.066753706,59489.960831462,57649.86739822,57660.076390032,1339199.5166564
2018-09-19,58490.098360675,58499.997989099,56229.889446206,56229.889446206,1221399.8629626
2018-09-20,56229.889446206,57200.053031721,56099.956823146,56909.870173554,945200.40546846
2018-09-21,57579.951272478,57699.984267114,56069.948574486,56800.046170729,999800.27294529
2018-09-25,56210.090189358,56330.123183995,55320.051721397,55380.068218715,835198.37777609
2018-09-26,55329.95134982,56520.072304373,55070.0861037,56280.0063151,816200.65463417
2018-09-27,56000.032448745,57100.12865732,55829.882585213,56719.921053175,771500.14860873
2018-09-28,57500.135518312,59010.138216304,56989.995291107,57919.941636152,1297598.2784708
2018-10-01,58400.073614698,59069.845350234,58069.982879447,58830.088724349,805101.0865193
2018-10-02,59010.138216304,59050.046093387,57820.017261751,58250.032371402,1119100.4274017
2018-10-03,58270.140991638,58849.887981196,57579.951272478,58849.887981196,859699.98426277
2018-10-04,58920.113470326,59080.054342046,57859.925138834,58310.04886872,1069599.0947224
2018-10-05,58000.066753706,58640.139603971,57320.086026358,57750.101136009,856900.3640332
2018-10-09,57470.127269653,58680.047481054,57329.985654781,58430.081863357,865099.13640391
2018-10-10,58599.9223635,59959.883818196,58250.032371402,59799.942946476,855801.00963985
2018-10-11,58499.997989099,59179.978716447,56580.088801691,57260.069529039,1281299.9697772
2018-10-12,56469.955435479,57780.109384668,54619.962373813,56069.948574486,2327200.0739961
2018-10-15,55500.101213351,55620.134207988,52929.910183867,53539.974785473,1463599.1756436
2018-10-16,53780.040774746,55660.042085071,53269.900547541,55660.042085071,1230899.694267
2018-10-17,56529.971932797,57420.010400759,56360.131432654,56629.896307198,1150598.01364
2018-10-18,56310.014563759,56939.878422213,55500.101213351,55829.882585213,893200.39314765
2018-10-19,54830.020114427,55940.015951426,54719.886748214,55940.015951426,874300.28983131
2018-10-22,55919.907331191,56800.046170729,55410.076467374,56469.955435479,659298.44239631
2018-10-23,56300.114935336,57219.852288568,55799.874336554,56000.032448745,1081398.810328
2018-10-24,56199.881197547,57669.976018455,56090.057194722,57230.06128038,1276698.9081968
2018-10-25,55500.101213351,55810.083328366,54110.131509996,54400.005004776,1211999.5909506
2018-10-26,55549.908718858,56049.839954251,54599.853753578,55530.10946201,1378900.0774433
2018-10-29,56400.039309737,57110.028285744,55590.125959329,56030.040697404,891401.21450803
2018-10-30,55780.075079707,57559.842652242,55209.918355184,57149.936162827,1052301.6374167
2018-10-31,56580.088801691,57530.143766971,56349.922440842,57070.120408661,970499.13278253
2018-11-01,57070.120408661,58520.106609334,56980.095662684,58019.866010553,852000.62457588
2018-11-02,58000.066753706,60550.149162954,57669.976018455,60530.040542719,1403898.1874137
2018-11-05,58719.955358136,59040.146464963,57329.985654781,57649.86739822,1526800.2548384
2018-11-06,58030.075002365,58439.981491781,57630.068141372,58439.981491781,797899.20004951
2018-11-07,58930.01309875,61009.863157877,58869.996601432,60449.915425165,1434399.5342399
2018-11-08,61660.144999954,61929.909874498,60669.872794203,61069.879655195,859999.63187307
2018-11-09,61050.080398348,61520.003385082,60019.900315514,60289.974553446,836099.26007373
2018-11-12,60210.15879928,60920.147775288,60060.117555985,60800.114780651,521300.53565272
2018-11-13,59799.942946476,60150.142301962,58939.912727174,60120.134053303,1091199.5822204
2018-11-14,60120.134053303,60229.958056128,58650.039232394,58999.929224492,680600.25201743
2018-11-15,58590.022735076,59380.136828637,58389.864622886,59309.911339507,640598.75064241
2018-11-16,59270.003462424,60299.87418187,59099.853598893,59850.059815371,674401.39309324
2018-11-19,59519.969080121,59869.859072218,58539.905866182,58740.063978372,573799.96065735
2018-11-20,58199.915502508,58770.072227031,58000.066753706,58270.140991638,533898.66506355
2018-11-21,57489.9265265,58259.931999826,57320.086026358,57450.018649418,597000.18496596
2018-11-22,57609.959521137,57900.142379305,56180.081940699,56779.937550493,748199.39527445
2018-11-26,56499.963684138,57549.943023819,55630.033836411,57399.901780523,939499.01976136
2018-11-27,57399.901780523,57660.076390032,56909.870173554,57059.911416849,589799.591474
2018-11-28,57609.959521137,59189.87834487,57380.102523676,59110.062590705,757900.93111904
2018-11-29,59799.942946476,59899.867320877,58890.105221667,59170.079088023,610099.98977181
2018-11-30,59099.853598893,59429.944334143,58210.124494319,59040.146464963,692800.14425902
2018-12-03,59209.986965106,59450.052954379,58409.973243121,58580.123106653,625299.2673165
2018-12-04,58300.149240297,58980.129967645,56959.987042448,56980.095662684,917700.06016759
2018-12-05,57299.977406122,58340.05711738,56779.937550493,57549.943023819,953199.73601009
2018-12-06,57540.043395395,57790.009013092,56420.147929972,57299.977406122,817800.71468917
2018-12-07,57200.053031721,59099.853598893,57179.944411486,58990.029596068,752399.95697439
2018-12-10,57989.857761894,58409.973243121,57299.977406122,57549.943023819,940800.07869498
2018-12-11,57919.941636152,58349.956745803,57559.842652242,58150.107997001,828199.16557994
2018-12-12,58670.14785263,59989.892066855,58490.098360675,59820.051566712,962300.36041181
2018-12-13,60379.999299423,61399.970390445,60280.074925022,61219.92089849,723299.87486298
2018-12-14,60949.846660558,61300.046016044,60299.87418187,60770.106531992,1606900.2309251
2018-12-17,60780.006160416,61170.113392984,60400.107919659,60990.063901029,488199.01042598
2018-12-18,60490.132665636,60599.956668461,59619.893454522,60010.00068709,817400.53805319
2018-12-19,59989.892066855,60120.134053303,58999.929224492,58999.929224492,691998.8212537
2018-12-20,58620.030983735,59140.070839364,57410.110772335,58240.132742979,1212300.2082943
2018-12-21,58169.907253848,58849.887981196,57420.010400759,58839.988352773,1145000.0661587
2018-12-25,56839.954047812,57929.841264575,56000.032448745,56409.93893816,1241299.4381356
2018-12-26,56980.095662684,57489.9265265,54550.046248071,55889.899082532,1016798.7291296
2018-12-27,57850.02551041,58719.955358136,56499.963684138,56619.996678774,1606700.789096
2018-12-28,56439.947186819,57110.028285744,55560.11771067,56370.031061078,923498.74245581
2019-01-04,54099.922518184,54649.970622472,52309.945953837,53299.9087962,1370300.1587032
2019-01-07,54719.886748214,55470.092964692,53870.065520723,53870.065520723,1335699.1024472
2019-01-08,54790.112237344,54809.911494192,53169.97617314,53669.907408533,1079099.8957601
2019-01-09,54009.897772207,54090.022889761,53049.943178503,53199.984421799,875601.02552046
2019-01-10,52619.928068852,53179.875801564,52020.072459058,52059.980336141,940301.63574451
2019-01-11,52450.087568709,55849.991205449,52309.945953837,55280.143844314,2563500.4986076
2019-01-15,55299.943101161,55650.142456647,53109.959675822,53329.917044859,1211599.0910702
2019-01-16,52959.918432526,53089.851055586,51340.09173171,52099.888213223,1090598.0242886
2019-01-17,52249.929456519,52589.919820193,50730.027130104,50839.851132929,1020498.9084124
2019-01-18,51000.101368036,51539.940480512,50380.137138006,51430.116477687,1034499.5955158
2019-01-21,51550.149472324,52059.980336141,51049.908873542,51319.983111475,830500.34285905
2019-01-22,51310.083483051,51430.116477687,50679.910261209,51060.117865354,815601.03616911
2019-01-23,50320.120640688,52119.996833459,50209.987274475,51229.958365497,1131800.0555716
2019-01-24,51220.058737074,51280.075234392,49640.13991334,49640.13991334,1038998.1886038
2019-01-25,49640.13991334,50399.936394854,49349.957055173,49849.888290566,1045900.1042188
2019-01-28,49749.963916165,50459.952892172,49719.955667506,50170.079397392,591100.32716315
2019-01-29,50129.862156922,50600.094507044,49809.980413483,50579.985886808,772899.47385683
2019-01-30,50399.936394854,50579.985886808,49860.097282378,49909.904787884,598000.30331145
2019-01-31,50499.860769255,50570.086258385,49729.855295929,49830.089033719,745599.54011841
2019-02-01,50050.046402756,51139.93361952,49909.904787884,50810.152247658,972499.36947351
2019-02-04,50810.152247658,51010.00099646,50230.095894711,50540.078009726,529400.07197558
2019-02-05,50110.062900074,50249.895151558,48600.060202083,49099.991437476,876798.6462283
2019-02-06,49210.124803689,49800.080785059,48829.917199544,49349.957055173,789900.83924124
2019-02-07,48810.117942697,49000.067063075,47879.862234264,48020.003849136,750499.27957573
2019-02-08,47319.914501552,48649.867707589,47039.940635197,47779.937859863,1171899.8232611
2019-02-12,48080.020346454,49520.106918704,47819.845736946,49220.024432112,1063700.2066529
2019-02-13,49980.130277014,50290.112392029,49160.007934794,49160.007934794,785599.74851562
2019-02-14,49319.948806513,49740.064287741,48840.126191356,49370.065675408,544798.79134934
2019-02-15,49229.924060536,49229.924060536,48320.086335727,48720.093196719,665000.79783677
2019-02-18,49400.073924067,50799.943255846,49280.040929431,50619.893763891,745198.39374907
2019-02-19,50360.028517771,50899.867630247,49960.021656779,50300.012020453,626599.35651674
